id_especie,nome_cientifico,nome_popular_1,genero,especie,familia,autor_nome_cientifico,municipio_coleta,estado_coleta,arvore_altura_comercial_m,arvore_dap_cm,arvore_das_cm,densidade_basica,densidade_seca,densidade_verde,densidade_aparente,contracao_tangencial,contracao_radial,contracao_volumetrica,relacao_tangencial_radial,flexao_verde_moe,flexao_verde_mor,flexao_seca_moe,flexao_seca_mor,compressao_paralela_verde,compressao_paralela_seca,compressao_perpendicular_verde,compressao_perpendicular_seca,dureza_janka_paralela_verde,dureza_janka_paralela_seca,dureza_janka_transversal_verde,dureza_janka_transversal_seca,tração_perpendicular_verde,tração_perpendicular_seca,fendilhamento_verde,fendilhamento_seca,cisalhamento_verde,cisalhamento_seca,extração_pregos_paralela_verde,extração_pregos_paralela_seca,extração_pregos_perpendicular_verde,extração_pregos_perpendicular_seca,cor_cerne_classificacao,textura,gra,brilho,cheiro,sabor,figura_tangencial,figura_radial,cerne_alburno,camadas_de_crescimento,secagem_duracao_dias,secagem_umidade_inicial,secagem_umidade_final,secagem_programa_utilizado,secagem_número_amostras,densidade_classificacao,compressaofco_classificacao,compressaofc90_classificacao,contracao_radial_classificacao,contracao_volumetrica_classificacao,dureza_paralela_classificacao,dureza_tranversal_classificacao,classificacao_tempo_secagem,Modulo_elasticidade_classificacao,cisalhamento_classificacao,dap_cm,altura_m,densidade,biomassa_kg,carbono_kg,co2_kg
21,Astronium lecointei,MUIRACATIARA-RAJADA,Astronium,lecointei,Anacardiaceae,Ducke,Belém,PA, , , ,"0,75","0,84", , ,"7,2","4,1",11,"1,76","11,28","100,62","12,94","145,63","52,07","84,14","11,08","14,61","6590,09","7688,43","6707,77","8659,29","6,77", , , ,"9,81","11,77",   ,   ,   ,   ,marrom,media ,"ondulada, sem desenho",alto nas superfícies longitudinais,imperceptível,ligeiramente amargo, , , , , , , , , ,Pesada,Alta,Baixa,Baixa,Baixa,Média,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
24,Bagassa guianensis,TATAJUBA,Bagassa,guianensis,Moraceae,Aubl.,Belém,PA, , , ,"0,7","0,77","1,07", ,"5,8","4,1","9,5","1,41","11,28","104,64","11,57","124,45","56,09","78,55","10,3","13,63","8139,54","9875,32","6894,09","7384,43","7,26","5,2", , ,"11,77","12,55",   ,   ,   ,   ,amarela,"média, com desenho em estrias nas superfícies radiais",entrecruzada geralmente ,alto nas superfícies longitudinais ,imperceptível,imperceptível, , ,distintos, , , , , , ,Média,Alta,Baixa,Baixa,Baixa,Alta,Média,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
28,Bowdichia nitida,SUCUPIRA,Bowdichia,nitida,Fabaceae,Spruce,Belém,PA, , , ,"0,77","0,88", , ,"7,4","4,5","12,3","1,64","11,18","113,66","13,53","153,96","55,51","86,79","13,24","15,98","9522,28","12758,48","9512,47","11307,1","5,79","4,22", , ,"11,67","12,55",   ,   ,   ,   ,marrom,grossa com pouco desenho,direita a ligeiramente entrecruzada,alto,imperceptível,imperceptível, , ,distintos, , , , , , ,Pesada,Alta,Baixa,Baixa,Média,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
47,Calophyllum brasiliense,JACAREÚBA,Calophyllum,brasiliense,Calophyllaceae,Cambess.,Belém,PA, , , ,"0,54","0,62", , ,"8,4","5,4","12,9","1,56","6,77","54,82","8,53","87,67","27,95","53,25","5,39","9,51","4462,04","7864,95","3569,63","5668,26","4,31","4,51", , ,"7,16","10,59",   ,   ,   ,   ,marrom,média e homogênea,"irregular e, geralmente, entrecruzada",moderado,imperceptível,imperceptível, ,"madeira muito atraente, geralmente com desenho em forma de faixas",pouco distintos a indistintos, , , , , , ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito Lenta > 20,Baixo,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
50,Carapa guianensis,ANDIROBA,Carapa,guianensis,Meliaceae,Aubl.,Belém,PA, , , ,"0,56","0,63", , ,7,"4,6","11,8","1,52","8,92","71,49","10,3","94,83","36,28","53,45","6,57","9,51","5256,38","8080,7","4540,49","6295,89","5,1", , , ,"8,63","9,61",   ,   ,   ,   ,marrom,média,direita a entrecruzada,fraco,imperceptível,imperceptível,pouco desenho,pouco desenho,indistintos, , , , , , ,Média,Alta,Baixa,Baixa,Média,Alta,Média,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
54,Caryocar sp.,MURURERANA,Caryocar,sp.,Caryocaraceae,,Belém,PA, , , ,"0,69","0,79","1,15", ,"8,1",5,"13,2","1,62","8,43","72,67",10,"101,5","38,15","59,33","9,12","12,36","5491,74","6982,35","5795,74","7355,01","6,28","5,49", , ,10,"10,49",   ,   ,   ,   ,marrom,grossa ,entrecruzada,fraco,imperceptível,amargo,"ausente, não apresenta desenho","ausente, não apresenta desenho", , , , , , , ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
60,Cedrela sp.,CEDRO,Cedrela,sp.,Meliaceae,,Belém,PA, , , ,"0,43","0,47", , ,"6,2","4,4","9,6","1,41","7,16","49,23","7,94","70,02","25,5","43,74","3,73","5,69","3157,75",4413,"2500,7","3177,36","3,53","3,73", , ,"5,88","7,45",   ,   ,   ,   ,rosa,,direita:média,médio,"característico ?? O cerne de cedro é rosa a marrom avermelhado logo após o corte, tornando se vermelho ou marrom avermelhado escuro após algum tempo de exposição   alburno é cinza  claro ou róseo Considera se que o material desta espécie, proveniente da Amazônia, apresenta pouco desenho, sendo ainda de textura emédio As amostras para teste, recebidas no LPF, apresentavam grã direita A madeira tem o típico odor ¿de cedro¿ pelo qual é bastante conhecida, mas não apresenta sabor característico", ,pouco desnhada, ,distintos, , , , , , ,Leve,Média,Baixa,Baixa,Baixa,Média,Baixa,Muito Lenta > 20,Baixo,Baixo,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
71,Copaifera sp.,COPAÍBA,Copaifera,sp.,Caesalpiniaceae,,Belém,PA, , , ,"0,47","0,53", , ,"6,8","3,9","10,3","1,74","6,77","49,72","9,71","65,41","25,5","43,15","4,71","7,75","3373,5","5678,06","2873,36","4059,96","3,63","3,04", , ,"6,18","7,94",   ,   ,   ,   ,marrom,média,direita,ausente, , ,ausente,ausente, , , , , , , ,Leve,Média,Baixa,Baixa,Baixa,Média,Média,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
75,Cordia sp.,FREI-JORGE,Cordia,sp.,Boraginaceae,,Belém,PA, , , ,"0,5","0,58", , ,"8,1","4,5","11,4","1,8","8,34","62,08", , ,"30,89", ,"3,33", ,"4118,8", ,"3579,44", ,"2,84", , , ,"6,77", ,   ,   ,   ,   ,marrom,média grossa,direita,muito acentuado,imperceptível,imperceptível,"Cordia goeldiana possui atraente desenho, constituído por faixas de cor marron claro e de cor marron escuro alternadamente Cordia bicolor: marron amarelado, não apresentando desenho", , , , , , , , ,Média,Alta,Alta,Baixa,Baixa,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
111,Euxylophora paraensis,PAU-AMARELO,Euxylophora,paraensis,Rutaceae,Huber,Belém,PA, , , ,"0,68","0,77", , ,"6,1","4,5","11,1","1,36","9,22","93,07","12,75","115,33","40,99","69,73","9,41","13,34","7276,55","10708,89","6521,44","8296,45","6,08","4,41", , ,"11,57","10,59",   ,   ,   ,   ,amarela,fina,direita,alto,imperceptível,imperceptível, , , , , , , , , ,Média,Alta,Baixa,Baixa,Baixa,Alta,Alta,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
245,Handroanthus serratifolius = Tabebuia serratifolia,IPÊ,Tabebuia,serratifolia,Bignoniaceae,(Vahl) Nichols.,Belém,PA, , , ,"0,89","0,99","1,2", ,"6,3","4,7","10,1","1,34","11,87","143,86","12,85","169,26","72,28","85,22","19,12","24,81","13258,62","14513,88","12905,58","13788,19","6,28","3,82", , ,"13,24","13,44",   ,   ,   ,   ,marrom,média ,direita ou irregular,fraco,imperceptível,imperceptível,pouco destacada,pouco destacada, , , , , , , ,Pesada,Alta,Baixa,Baixa,Baixa,Alta,Alta,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
153,Manilkara sp.,MAÇARANDUBA,Manilkara,sp.,Sapotaceae,,Belém,PA, , , ,"0,89","1,05","1,27","1,07","9,4","6,7","16,38","1,4","11,77","122,88","13,93","169,56","57,96","82,47","14,61","19,42","10257,78","15023,83","10120,49","14356,97","5,2","6,77", , ,"11,77","15,49",   ,   ,   ,   ,marrom,fina e uniforme,direita,ausente,imperceptível,imperceptível,não apresenta desenho ,não apresenta desenho ,indistintos, , , , , , ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
168,Ocotea cymbarum = Ocotea barcellensis,LOURO-MAMORIM,Ocotea,barcellensis,Lauraceae,Mez,Belém,PA, , , ,"0,55","0,61", , ,"6,8","3,6",10,"1,89","8,24","65,61","10,1","99,34","32,07","56,19","7,75","9,32","4717,01","5403,48","4363,97","5050,44","5,98","6,08", , ,"7,75","9,32",   ,   ,   ,   ,marrom,fina,entrecruzada,alto nas superfícies longitudinais,"medicinal agradável, causado pela presença de óleo",imperceptível,pouco desenho,faixas mais escuras e pouco desenho, , , , , , , ,Média,Alta,Baixa,Baixa,Baixa,Média,Média,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
